Category,Test,Statistic,p-value
FA,Wilcoxon signed-rank test,132.5,0.41840760679648425
PU,Wilcoxon signed-rank test,93.5,0.036757088757021765
AE,Wilcoxon signed-rank test,52.5,0.6693121437443776
RW,Wilcoxon signed-rank test,49.5,0.003994013399415527
